"variable","mean","median","sd","2.5%","5%","95%","97.5%"
"CDC (offset)",-0.17965705356825,-0.1795765,0.132431808699006,-0.4449369,-0.40122955,0.0388258049999999,0.0737223425000001
"Biden mask (offset)",-0.1641609664345,-0.1612515,0.139314149820146,-0.443856175,-0.39555765,0.060702315,0.10563655
"Trump mask (offset)",0.3177574569285,0.3180345,0.116816779160637,0.0898418325,0.1262802,0.5117706,0.546923325
"Election (offset)",0.208868746996,0.2092645,0.10717527539136,-0.00461415175,0.03005793,0.38032465,0.41216045
