"variable","mean","median","sd","2.5%","5%","95%","97.5%"
"CDC (offset)",-0.66707961425,-0.6639695,0.161751977082446,-0.997177575,-0.9426443,-0.40683675,-0.359591525
"Biden mask (offset)",0.10369757888215,0.1053435,0.111302785153646,-0.119677675,-0.0831142,0.2869715,0.31844375
"Trump mask (offset)",-0.028552968203675,-0.0293381,0.10934864496292,-0.238150275,-0.20514955,0.14818865,0.18203715
"Election (offset)",0.448745764325,0.446649,0.102400176079437,0.253267825,0.2820938,0.61822575,0.652501225
