"variable","mean","median","sd","2.5%","5%","95%","97.5%"
"CDC (offset)",-0.167588787755,-0.1683965,0.19545439848496,-0.557687625,-0.48672295,0.15160745,0.223962375
"Biden mask (offset)",0.15102841359995,0.149462,0.198367825020903,-0.2347576,-0.165955,0.477696699999999,0.5518084
"Trump mask (offset)",-0.665508241295,-0.667785,0.196570302459491,-1.048877,-0.98971535,-0.3419795,-0.29204355
"Election (offset)",-0.93627004875,-0.9365405,0.191776827174795,-1.32010825,-1.244314,-0.62608375,-0.55155165
