"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_genderM",0.132108260817475,0.1324905,0.0905949445189765,-0.0433584925,-0.017568695,0.2788664,0.310146,"beta","Gender","Democracts"
"b_Intercept",-0.8947262715,-0.89469,0.106397305999909,-1.10506475,-1.0714965,-0.72090825,-0.6873675,"beta","Intercept","Democracts"
"b_mask_mandate",-0.02206144210805,-0.0224648,0.0580936091375923,-0.1349062,-0.11705355,0.074364225,0.09233543,"beta","State mask mandate","Democracts"
"b_scaleage",0.093704270071175,0.0926624,0.051179719539639,-0.0042658815,0.0099961045,0.17981715,0.19549205,"beta","Age","Democracts"
"b_scaleage65_prop",0.0457035350018975,0.04505335,0.0551559862993487,-0.0604155825,-0.04170823,0.1358071,0.158425675,"beta","Proportion over 65","Democracts"
"b_scalecases_norm_l1",-0.03138132221561,-0.0308645,0.0246866414224761,-0.0800037375,-0.07197292,0.00864613549999995,0.0164419225,"beta","Cases","Democracts"
"b_scaledeaths_norm_l1",0.0199463062648925,0.0200709,0.0182487252213808,-0.015298645,-0.010281375,0.0499977,0.0559729125,"beta","Deaths","Democracts"
"b_scaledpres",0.266749115167645,0.2702585,0.270698860203336,-0.267823725,-0.17859095,0.7111012,0.791876475,"beta","Clinton vote share","Democracts"
"b_scalefollowers",0.0209498157532,0.0224821,0.0469261798254461,-0.0727022675,-0.05607973,0.0947436049999999,0.111056525,"beta","Followers","Democracts"
"b_scalemargin_pc",0.02917288785675,0.0289836,0.0734077164422982,-0.1157195,-0.08766941,0.1501371,0.174552075,"beta","Margin of victory","Democracts"
"b_scalemedianIncomeE",-0.0185691870072425,-0.01881455,0.0505939504295668,-0.12029575,-0.1003241,0.064337935,0.0804303525,"beta","Median income","Democracts"
"b_scalenet_trump_vote",0.25094152493725,0.249195,0.278098558792666,-0.2951079,-0.2039954,0.7097095,0.787273825,"beta","Net Trump vote","Democracts"
"b_scalenokken_poole_dim1",-0.04707561142875,-0.04789395,0.0551033694698649,-0.153098575,-0.13652915,0.0440404399999999,0.0622258225,"beta","Ideology (DW Nominate 1)","Democracts"
"b_scalenokken_poole_dim2",0.020695965672325,0.02024235,0.0558754633380623,-0.0874382175,-0.069324555,0.11313615,0.129461725,"beta","Ideology (DW Nominate 2)","Democracts"
"b_scaleVery.low.density",0.065514377153325,0.06474325,0.055199386071975,-0.0456122975,-0.02471059,0.15739115,0.17278155,"beta","Population density ","Democracts"
"b_zi_genderM",0.2059511337819,0.20581,0.132284279238455,-0.048603735,-0.010363805,0.4223517,0.46548115,"zero-inflated","Gender","Democracts"
