"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_genderM",0.0341031147485,0.0349855,0.1073766728592,-0.1797082,-0.14942255,0.20933515,0.2440798,"beta","Gender","Democracts"
"b_Intercept",-0.5140141425,-0.514488,0.114285593056427,-0.730449625,-0.69787925,-0.32441095,-0.290607725,"beta","Intercept","Democracts"
"b_mask_mandate",0.015381770195375,0.01488725,0.0631747189910905,-0.1068287,-0.088145585,0.120126,0.138621025,"beta","State mask mandate","Democracts"
"b_scaleage",0.164361398494675,0.1640575,0.0582016781904286,0.04707155,0.068692515,0.26173225,0.27910735,"beta","Age","Democracts"
"b_scaleage65_prop",0.052768855976525,0.05255605,0.0624181167658801,-0.06903704,-0.047715655,0.1579571,0.1752328,"beta","Proportion over 65","Democracts"
"b_scalecases_norm_l1",-0.01179558862772,-0.01202035,0.0232616242723739,-0.057239015,-0.050698435,0.027095195,0.0326455125,"beta","Cases","Democracts"
"b_scaledeaths_norm_l1",0.0192713700671675,0.0205953,0.0651192497315183,-0.108590775,-0.090453985,0.1238886,0.146191775,"beta","Deaths","Democracts"
"b_scaledpres",0.466155614497,0.4640945,0.245321895769106,-0.012511035,0.06219705,0.8759482,0.946568175,"beta","Clinton vote share","Democracts"
"b_scalefollowers",-0.0209834470745,-0.0212751,0.0531553929899538,-0.12479245,-0.10924035,0.06806415,0.0835906375,"beta","Followers","Democracts"
"b_scalemargin_pc",0.067749738410175,0.0668936,0.0890025455463943,-0.103767975,-0.07616646,0.21373455,0.245324225,"beta","Margin of victory","Democracts"
"b_scalemedianIncomeE",0.032820487286975,0.0324559,0.0556413723569779,-0.07799866,-0.058781785,0.12663285,0.141817725,"beta","Median income","Democracts"
"b_scalenet_trump_vote",0.49809932718275,0.500481,0.253359242735359,-0.010933135,0.08112741,0.9101808,0.990704,"beta","Net Trump vote","Democracts"
"b_scalenokken_poole_dim1",-0.067734455286025,-0.0679319,0.0579638061786656,-0.181602025,-0.16421915,0.0268264049999999,0.043409585,"beta","Ideology (DW Nominate 1)","Democracts"
"b_scalenokken_poole_dim2",-0.055723656267625,-0.0564268,0.0606161118522375,-0.173077325,-0.15453975,0.04594021,0.0654912575,"beta","Ideology (DW Nominate 2)","Democracts"
"b_scaleVery.low.density",0.03760884259715,0.0381559,0.0649959796361594,-0.08538972,-0.069021755,0.1464986,0.1680629,"beta","Population density ","Democracts"
"b_typeSEN",0.315807019729,0.315328,0.163681410222597,0.00497371625,0.04987501,0.5835458,0.6333763,"beta","Senator","Democracts"
"b_zi_genderM",0.00767653995402499,0.005563075,0.127415555462643,-0.2464555,-0.20265565,0.21346135,0.260421775,"zero-inflated","Gender","Democracts"
"b_zi_Intercept",0.91146073275,0.910434,0.154587739789927,0.6071683,0.65590835,1.164409,1.21441325,"zero-inflated","Intercept","Democracts"
"b_zi_mask_mandate",-0.280635250995,-0.2805945,0.0829251495944172,-0.438844425,-0.4155349,-0.14209885,-0.11817065,"zero-inflated","State mask mandate","Democracts"
"b_zi_scaleage",0.2786528704,0.2770865,0.0688594888414278,0.1477208,0.1695447,0.3944155,0.4172905,"zero-inflated","Age","Democracts"
"b_zi_scaleage65_prop",0.004337498816885,0.003593155,0.0760979906881546,-0.147432075,-0.1173406,0.1315876,0.1533508,"zero-inflated","Proportion over 65","Democracts"
"b_zi_scalecases_norm_l1",-0.075497778281425,-0.07631,0.0364874167795554,-0.1474628,-0.1364361,-0.015505895,-0.0031620845,"zero-inflated","Cases","Democracts"
"b_zi_scaledeaths_norm_l1",0.15410402009,0.147157,0.0611332098470432,0.054052005,0.064240365,0.2663474,0.290031375,"zero-inflated","Deaths","Democracts"
"b_zi_scaledpres",-0.0299580423535,-0.0271442,0.296080737331156,-0.6162527,-0.52361865,0.452718,0.547128275,"zero-inflated","Clinton vote share","Democracts"
"b_zi_scalefollowers",0.018944625745775,0.0183486,0.0645297061074496,-0.105166875,-0.08714097,0.1237261,0.14693,"zero-inflated","Followers","Democracts"
"b_zi_scalemargin_pc",0.037880110020475,0.03978335,0.105082902665954,-0.173032225,-0.13844655,0.2045843,0.237674175,"zero-inflated","Margin of victory","Democracts"
"b_zi_scalemedianIncomeE",-0.000839647742599993,-0.00176948,0.0664254839628219,-0.1294911,-0.11049805,0.10776105,0.129830525,"zero-inflated","Median income","Democracts"
"b_zi_scalenet_trump_vote",-0.0471366264055,-0.0476446,0.304119740032755,-0.647870075,-0.55837885,0.4450365,0.540525475,"zero-inflated","Net Trump vote","Democracts"
"b_zi_scalenokken_poole_dim1",-0.03781138266135,-0.0382284,0.0689844083967599,-0.172631375,-0.1506532,0.0730070699999999,0.096338655,"zero-inflated","Ideology (DW Nominate 1)","Democracts"
"b_zi_scalenokken_poole_dim2",-0.074700947172425,-0.0757631,0.0743698573009278,-0.216019,-0.19489645,0.0473069049999999,0.0729564975,"zero-inflated","Ideology (DW Nominate 2)","Democracts"
"b_zi_scaleVery.low.density",0.025934945426995,0.02567505,0.0781427317705668,-0.127083875,-0.1021638,0.15483235,0.179380325,"zero-inflated","Population density ","Democracts"
"b_zi_typeSEN",0.233598388407225,0.2321775,0.196645126268113,-0.1569562,-0.08220763,0.55518905,0.6179752,"zero-inflated","Senator","Democracts"
"r_yr_wk__zi[2020_13,Intercept]",1.361707128,1.361255,0.230071589640067,0.912493675,0.982954,1.7371865,1.812347,"zero-inflated","CDC (offset)","Democracts"
"r_yr_wk__zi[2020_21,Intercept]",-0.039931444789275,-0.03971575,0.179464068690021,-0.396300475,-0.33406355,0.25537105,0.306201825,"zero-inflated","Biden mask (offset)","Democracts"
"r_yr_wk__zi[2020_28,Intercept]",-0.38533436198575,-0.380657,0.178497581356577,-0.73951285,-0.6781447,-0.093211105,-0.0352638749999999,"zero-inflated","Trump mask (offset)","Democracts"
"r_yr_wk__zi[2020_44,Intercept]",-1.4804956165,-1.477975,0.190785008537709,-1.858743,-1.7949415,-1.172446,-1.11493075,"zero-inflated","Election (offset)","Democracts"
"r_yr_wk[2020_13,Intercept]",-0.643297828775,-0.6424645,0.199057272378732,-1.04962625,-0.9780884,-0.31892765,-0.257334275,"beta","CDC (offset)","Democracts"
"r_yr_wk[2020_21,Intercept]",0.012126018794335,0.01357975,0.124090251456345,-0.2378443,-0.1944755,0.21658875,0.25549665,"beta","Biden mask (offset)","Democracts"
"r_yr_wk[2020_28,Intercept]",0.144264444621575,0.144606,0.11272210850294,-0.0751692925,-0.04211575,0.32890025,0.36483365,"beta","Trump mask (offset)","Democracts"
"r_yr_wk[2020_44,Intercept]",0.22978293206755,0.2290695,0.106243021845743,0.0234044725,0.059647285,0.4036456,0.438304175,"beta","Election (offset)","Democracts"
"sd_bioguide__Intercept",0.74775103725,0.7466415,0.0419176035828791,0.671008,0.6815374,0.8189221,0.8317381,NA,NA,"Democracts"
"sd_bioguide__zi_Intercept",0.88824753225,0.886653,0.0496728652261968,0.79293885,0.8097891,0.970707,0.9873269,NA,NA,"Democracts"
"sd_yr_wk__Intercept",0.48096413425,0.4766375,0.0567076740418618,0.3812716,0.3953778,0.5803402,0.60378095,NA,NA,"Democracts"
"sd_yr_wk__zi_Intercept",0.85028771375,0.843633,0.0879103328177942,0.6989192,0.7208356,1.0078115,1.037977,NA,NA,"Democracts"
"b_genderM",0.03396470390166,0.035892,0.169836241645798,-0.303984525,-0.2476485,0.3156218,0.369989225,"beta","Gender","Republicans"
"b_Intercept",-0.7107259425,-0.707503,0.181849298965779,-1.07140275,-1.0203025,-0.4203059,-0.36694135,"beta","Intercept","Republicans"
"b_mask_mandate",0.247327016425,0.247022,0.0626271278131632,0.12786645,0.14713195,0.35080365,0.36832645,"beta","State mask mandate","Republicans"
"b_scaleage",-0.0210666837894,-0.0208052,0.0499957224632179,-0.1199114,-0.10290475,0.060909355,0.0751945225,"beta","Age","Republicans"
"b_scaleage65_prop",0.04175670069695,0.0418022,0.0578151003344418,-0.0681838875,-0.0526862,0.1390721,0.1569291,"beta","Proportion over 65","Republicans"
"b_scalecases_norm_l1",-0.0108411570297,-0.010996,0.0419563176934818,-0.09037896,-0.08010645,0.05873102,0.072024395,"beta","Cases","Republicans"
"b_scaledeaths_norm_l1",-0.0131399312822325,-0.0128822,0.0354393101834526,-0.0851539975,-0.072303055,0.044133025,0.055904855,"beta","Deaths","Republicans"
"b_scaledpres",-0.35560832981425,-0.357283,0.192674748224172,-0.7312858,-0.67176515,-0.0305788600000004,0.0326758225000002,"beta","Clinton vote share","Republicans"
"b_scalefollowers",-0.0395314260789,-0.0385448,0.0548835336414989,-0.149197425,-0.12940135,0.0515304549999999,0.06859537,"beta","Followers","Republicans"
"b_scalemargin_pc",0.0909605268215,0.09079525,0.0664883399982588,-0.0411946975,-0.017719695,0.19921195,0.21876985,"beta","Margin of victory","Republicans"
"b_scalemedianIncomeE",-0.113167156680502,-0.112186,0.0642948650069041,-0.238971475,-0.2197114,-0.00993258150000016,0.013127905,"beta","Median income","Republicans"
"b_scalenet_trump_vote",-0.3550590645705,-0.3542335,0.203906191500902,-0.7537016,-0.6890294,-0.0197221450000001,0.0536037725000001,"beta","Net Trump vote","Republicans"
"b_scalenokken_poole_dim1",-0.09580938034125,-0.09554025,0.0574856342531398,-0.2064191,-0.19081445,-0.00219546200000003,0.0183427575,"beta","Ideology (DW Nominate 1)","Republicans"
"b_scalenokken_poole_dim2",0.0342200875051075,0.03487735,0.0610436967236777,-0.083802055,-0.06740772,0.13534905,0.154774,"beta","Ideology (DW Nominate 2)","Republicans"
"b_scaleVery.low.density",-0.066241021623025,-0.0664082,0.0674474032465977,-0.194444275,-0.17673695,0.0457526449999999,0.06596686,"beta","Population density ","Republicans"
"b_typeSEN",0.27747588864175,0.2755635,0.137556134420203,0.00842666375,0.052882795,0.5024517,0.54484215,"beta","Senator","Republicans"
"b_zi_genderM",0.40361974836275,0.404486,0.212571113325355,-0.0121068575,0.05403233,0.75803245,0.8182346,"zero-inflated","Gender","Republicans"
"b_zi_Intercept",0.85326720235,0.8448785,0.24528563467143,0.389269625,0.45901295,1.268989,1.34452825,"zero-inflated","Intercept","Republicans"
"b_zi_mask_mandate",-0.18683500772325,-0.1867465,0.0822551501061002,-0.347929975,-0.3218093,-0.051963145,-0.0268929124999999,"zero-inflated","State mask mandate","Republicans"
"b_zi_scaleage",0.0572580142152,0.0559471,0.0617374666712728,-0.0654238725,-0.044966595,0.1582934,0.17950975,"zero-inflated","Age","Republicans"
"b_zi_scaleage65_prop",0.0099944751657925,0.009620315,0.07144851496308,-0.1297464,-0.10837035,0.1289068,0.146194975,"zero-inflated","Proportion over 65","Republicans"
"b_zi_scalecases_norm_l1",-0.09401235728305,-0.0948792,0.0568253826236318,-0.2028019,-0.18686495,0.00142257,0.0208571875,"zero-inflated","Cases","Republicans"
"b_zi_scaledeaths_norm_l1",0.0825127909425,0.0814678,0.0546831061903357,-0.02363726,-0.007935543,0.17438055,0.1907392,"zero-inflated","Deaths","Republicans"
"b_zi_scaledpres",-0.5117027835345,-0.5136015,0.223987481656115,-0.9648885,-0.8830359,-0.1474995,-0.09138745,"zero-inflated","Clinton vote share","Republicans"
"b_zi_scalefollowers",0.1196178874312,0.119352,0.0666934752305232,-0.0088026445,0.010617195,0.231372,0.252515475,"zero-inflated","Followers","Republicans"
"b_zi_scalemargin_pc",0.020909618012175,0.0216378,0.0810961478288441,-0.141838775,-0.115712,0.15375965,0.1767371,"zero-inflated","Margin of victory","Republicans"
"b_zi_scalemedianIncomeE",-0.051675204281975,-0.0532916,0.0792355010100512,-0.204141975,-0.18026425,0.0795518099999999,0.102962525,"zero-inflated","Median income","Republicans"
"b_zi_scalenet_trump_vote",-0.230702818562925,-0.2281855,0.236493833901869,-0.699395225,-0.62408925,0.15021225,0.2196949,"zero-inflated","Net Trump vote","Republicans"
"b_zi_scalenokken_poole_dim1",0.1305052982245,0.1309965,0.0728099510185442,-0.015188085,0.01034616,0.2491804,0.27038195,"zero-inflated","Ideology (DW Nominate 1)","Republicans"
"b_zi_scalenokken_poole_dim2",0.013848611618625,0.0140573,0.0744056850426463,-0.134190025,-0.1104582,0.1355734,0.159625875,"zero-inflated","Ideology (DW Nominate 2)","Republicans"
"b_zi_scaleVery.low.density",-0.072933920967875,-0.07273095,0.0807573296685003,-0.2307005,-0.20730305,0.0596461699999999,0.0838563975,"zero-inflated","Population density ","Republicans"
"b_zi_typeSEN",0.095384982944475,0.09079125,0.165991004675786,-0.22953165,-0.17536755,0.373119,0.4217192,"zero-inflated","Senator","Republicans"
"r_yr_wk__zi[2020_13,Intercept]",-0.267455863329,-0.266859,0.209486513337877,-0.680093575,-0.60792805,0.0828218199999999,0.1396966,"zero-inflated","CDC (offset)","Republicans"
"r_yr_wk__zi[2020_21,Intercept]",0.088296062485705,0.0850483,0.209148019948732,-0.31990445,-0.25466865,0.43791175,0.502915125,"zero-inflated","Biden mask (offset)","Republicans"
"r_yr_wk__zi[2020_28,Intercept]",-0.78609871375,-0.7845815,0.203057722450912,-1.18540125,-1.1235015,-0.4570327,-0.38584575,"zero-inflated","Trump mask (offset)","Republicans"
"r_yr_wk__zi[2020_44,Intercept]",-0.838398316,-0.8331805,0.200256417219501,-1.23808925,-1.175505,-0.51586405,-0.4519277,"zero-inflated","Election (offset)","Republicans"
"r_yr_wk[2020_13,Intercept]",-0.12757118081175,-0.1255015,0.141476476881328,-0.41411505,-0.35763465,0.10163975,0.1402445,"beta","CDC (offset)","Republicans"
"r_yr_wk[2020_21,Intercept]",-0.084035704970175,-0.07922765,0.151360584088875,-0.383596975,-0.33577035,0.1594425,0.2126127,"beta","Biden mask (offset)","Republicans"
"r_yr_wk[2020_28,Intercept]",0.3229977954275,0.324016,0.120979592272712,0.08220769,0.12406595,0.5164265,0.557067375,"beta","Trump mask (offset)","Republicans"
"r_yr_wk[2020_44,Intercept]",0.084120850145925,0.0828848,0.118486927948922,-0.14921135,-0.11067385,0.27918745,0.3207211,"beta","Election (offset)","Republicans"
"sd_bioguide__Intercept",0.6103170645,0.6088635,0.0400724427715638,0.537532125,0.54778705,0.6806335,0.694275625,NA,NA,"Republicans"
"sd_yr_wk__Intercept",0.488301027,0.483928,0.0573268676075642,0.38818885,0.40066055,0.5868856,0.609310125,NA,NA,"Republicans"
