"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_genderM",0.30508797951975,0.306391,0.108646357906059,0.0938331675,0.12546975,0.48549405,0.51824365,"beta","Gender","Democracts"
"b_Intercept",-0.5464006465,-0.5484365,0.118829019724216,-0.777247925,-0.74339825,-0.34605635,-0.3102895,"beta","Intercept","Democracts"
"b_mask_mandate",0.03480411901585,0.0340768,0.0664457979371391,-0.0948948675,-0.075042355,0.1436445,0.165055,"beta","State mask mandate","Democracts"
"b_scaleage",0.118358509584225,0.1182265,0.0593897134384515,0.001562850025,0.021227365,0.21635905,0.237074075,"beta","Age","Democracts"
"b_scaleage65_prop",0.065271817895315,0.06385575,0.0635114230913482,-0.057418455,-0.03755262,0.17013385,0.194020025,"beta","Proportion over 65","Democracts"
"b_scalecases_norm_l1",0.0110679419633815,0.0108832,0.029589688573343,-0.0465140975,-0.03634501,0.0596991149999999,0.07055936,"beta","Cases","Democracts"
"b_scaledeaths_norm_l1",0.073989377923975,0.07408445,0.0762833660796832,-0.0787851275,-0.053670675,0.1991436,0.2221145,"beta","Deaths","Democracts"
"b_scaledpres",0.37120842781825,0.3685945,0.240976114578721,-0.0918721325,-0.01530399,0.758388049999999,0.841332475,"beta","Clinton vote share","Democracts"
"b_scalefollowers",0.035952944376225,0.03535915,0.0556024900170855,-0.072842205,-0.05504676,0.1278184,0.142930875,"beta","Followers","Democracts"
"b_scalemargin_pc",0.052666374704725,0.05137735,0.0891232857505857,-0.123608475,-0.095029125,0.2020057,0.230143675,"beta","Margin of victory","Democracts"
"b_scalemedianIncomeE",0.0213967574142975,0.02201365,0.0582243160045073,-0.0908343825,-0.075864055,0.11650385,0.1357512,"beta","Median income","Democracts"
"b_scalenet_trump_vote",0.299302917937625,0.2963705,0.248031696032061,-0.182709325,-0.1127571,0.70368925,0.7915228,"beta","Net Trump vote","Democracts"
"b_scalenokken_poole_dim1",0.0098678733931,0.01055525,0.0614564092207838,-0.105913,-0.08919907,0.1101937,0.13050255,"beta","Ideology (DW Nominate 1)","Democracts"
"b_scalenokken_poole_dim2",0.006151749425525,0.00641368,0.064374845390034,-0.120769525,-0.097257185,0.11017605,0.1323152,"beta","Ideology (DW Nominate 2)","Democracts"
"b_scaleVery.low.density",0.042768318841325,0.04409715,0.06714312115649,-0.08898221,-0.068901405,0.15107795,0.169529375,"beta","Population density ","Democracts"
"b_typeSEN",0.063828413960325,0.0681192,0.175734645542264,-0.28842315,-0.2273897,0.35262545,0.397432825,"beta","Senator","Democracts"
"b_zi_genderM",0.2591607132005,0.258409,0.127457808409056,0.010936895,0.04816589,0.4651089,0.5084816,"zero-inflated","Gender","Democracts"
"b_zi_Intercept",0.6819400415,0.6829775,0.16035004930368,0.374011125,0.4198977,0.94593865,0.9986269,"zero-inflated","Intercept","Democracts"
"b_zi_mask_mandate",-0.1586042581215,-0.1583795,0.083767832867964,-0.32556015,-0.297268,-0.019659835,0.00398450925000005,"zero-inflated","State mask mandate","Democracts"
"b_zi_scaleage",0.2308580355525,0.231213,0.067246247331915,0.0968068825,0.12173345,0.34155715,0.359896675,"zero-inflated","Age","Democracts"
"b_zi_scaleage65_prop",0.03632723518905,0.03496985,0.0738660731769013,-0.105802625,-0.08378401,0.15851345,0.1838327,"zero-inflated","Proportion over 65","Democracts"
"b_zi_scalecases_norm_l1",0.033307079849075,0.03211225,0.0435834698231431,-0.048890405,-0.0364528,0.1063348,0.1206177,"zero-inflated","Cases","Democracts"
"b_zi_scaledeaths_norm_l1",0.116826388637,0.110663,0.0666289024194756,0.0076772185,0.01998304,0.2366432,0.265322,"zero-inflated","Deaths","Democracts"
