"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_zi_scaledpres",0.13837928000879,0.1439145,0.265556423800112,-0.374885025,-0.29999645,0.57933685,0.659057125,"zero-inflated","Clinton vote share","Democracts"
"b_zi_scalefollowers",0.059434120819375,0.05798125,0.0635773752961013,-0.0654166925,-0.045972535,0.16319135,0.1826272,"zero-inflated","Followers","Democracts"
"b_zi_scalemargin_pc",0.043706587772515,0.0433683,0.102050688738304,-0.16246595,-0.12448145,0.2098082,0.24269405,"zero-inflated","Margin of victory","Democracts"
"b_zi_scalemedianIncomeE",-0.018679009991825,-0.0187481,0.0664408522569295,-0.1498375,-0.12885405,0.08988598,0.110710725,"zero-inflated","Median income","Democracts"
"b_zi_scalenet_trump_vote",0.062914290066025,0.0634243,0.274040564232561,-0.471792775,-0.3836123,0.51415325,0.59408395,"zero-inflated","Net Trump vote","Democracts"
"b_zi_scalenokken_poole_dim1",-0.0254590133036925,-0.02492105,0.0699528106654074,-0.159234425,-0.14151265,0.0904431149999999,0.110106925,"zero-inflated","Ideology (DW Nominate 1)","Democracts"
"b_zi_scalenokken_poole_dim2",0.01866696472585,0.0179809,0.0731963795262351,-0.123921425,-0.10147875,0.1362393,0.15811005,"zero-inflated","Ideology (DW Nominate 2)","Democracts"
"b_zi_scaleVery.low.density",0.072589694689475,0.07228605,0.0744740873807496,-0.0742125975,-0.050738415,0.1965518,0.2191799,"zero-inflated","Population density ","Democracts"
"b_zi_typeSEN",0.29432306621525,0.2927525,0.193547435933641,-0.0746687175,-0.02093841,0.6172028,0.674717,"zero-inflated","Senator","Democracts"
"r_yr_wk__zi[2020_13,Intercept]",1.27941881575,1.27642,0.236954316920954,0.821521925,0.89749175,1.6813465,1.754182,"zero-inflated","CDC (offset)","Democracts"
"r_yr_wk__zi[2020_21,Intercept]",0.00476170650725,0.002243645,0.185995690325845,-0.357540375,-0.2981951,0.3047405,0.354272725,"zero-inflated","Biden mask (offset)","Democracts"
"r_yr_wk__zi[2020_28,Intercept]",0.01065978260085,0.0126117,0.184589963667106,-0.35193735,-0.3004839,0.3116682,0.365907225,"zero-inflated","Trump mask (offset)","Democracts"
"r_yr_wk__zi[2020_44,Intercept]",-1.29034364875,-1.28555,0.189596148204852,-1.669621,-1.610014,-0.98454665,-0.915957525,"zero-inflated","Election (offset)","Democracts"
"r_yr_wk[2020_13,Intercept]",-0.36411335032575,-0.3597775,0.196761990168319,-0.753935875,-0.68398085,-0.0508640100000001,0.0158648975,"beta","CDC (offset)","Democracts"
"r_yr_wk[2020_21,Intercept]",0.059400532919075,0.05993545,0.131752247036306,-0.2131763,-0.1575358,0.2745762,0.320147975,"beta","Biden mask (offset)","Democracts"
"r_yr_wk[2020_28,Intercept]",0.00366397902685,0.002259835,0.132051080644536,-0.2534288,-0.21504825,0.2260717,0.264662125,"beta","Trump mask (offset)","Democracts"
"r_yr_wk[2020_44,Intercept]",0.40286931923,0.4036315,0.113903755103394,0.1816924,0.21492915,0.59216355,0.62258305,"beta","Election (offset)","Democracts"
"sd_bioguide__Intercept",0.754981946,0.753329,0.0423171225023785,0.6780218,0.68875895,0.8258077,0.841001575,NA,NA,"Democracts"
"sd_yr_wk__Intercept",0.52498581775,0.5211915,0.0612401453180687,0.415842775,0.4316203,0.6313175,0.65729995,NA,NA,"Democracts"
"b_genderM",0.2225142950865,0.2226555,0.207210842037225,-0.18564735,-0.1189575,0.566439,0.63825315,"beta","Gender","Republicans"
"b_Intercept",-0.3428740348155,-0.343443,0.217342710670229,-0.774724925,-0.70014145,0.0179873149999998,0.086896825,"beta","Intercept","Republicans"
"b_mask_mandate",0.156694044438075,0.1578285,0.0719822556802974,0.0138689325,0.0353083,0.27200995,0.291676475,"beta","State mask mandate","Republicans"
"b_scaleage",0.1937302686415,0.1946265,0.0650595945895209,0.06345716,0.087484825,0.2995989,0.321774425,"beta","Age","Republicans"
"b_scaleage65_prop",0.1971681002465,0.197249,0.0744422783195476,0.0541996825,0.07592835,0.3191437,0.339569625,"beta","Proportion over 65","Republicans"
"b_scalecases_norm_l1",-0.0161339562749825,-0.01595025,0.0401728844409344,-0.0938910975,-0.081372175,0.049128175,0.0627512375,"beta","Cases","Republicans"
"b_scaledeaths_norm_l1",-0.0134059756862,-0.0131667,0.0364648007076654,-0.085712145,-0.074522395,0.04670036,0.056302385,"beta","Deaths","Republicans"
"b_scaledpres",-0.19019733864495,-0.1908635,0.246031880972396,-0.6769065,-0.6018922,0.22463235,0.2958381,"beta","Clinton vote share","Republicans"
"b_scalefollowers",0.019817277329275,0.0211331,0.0647880498784051,-0.110075425,-0.0881922,0.12227395,0.141425725,"beta","Followers","Republicans"
"b_scalemargin_pc",0.149821163388325,0.1481125,0.0830148591375509,-0.01345761,0.012486065,0.28901055,0.3150687,"beta","Margin of victory","Republicans"
"b_scalemedianIncomeE",-0.12077222329365,-0.1215455,0.0798876509781427,-0.274965325,-0.2508784,0.010176675,0.0320306625,"beta","Median income","Republicans"
"b_scalenet_trump_vote",-0.28889348183075,-0.294052,0.267131877905966,-0.81455285,-0.71966345,0.1584655,0.24070335,"beta","Net Trump vote","Republicans"
"b_scalenokken_poole_dim1",-0.0298064055436857,-0.0279893,0.0713498284900107,-0.169816275,-0.14798125,0.0878860849999999,0.110783825,"beta","Ideology (DW Nominate 1)","Republicans"
"b_scalenokken_poole_dim2",0.0174558046665025,0.0169364,0.0755337757260296,-0.125532725,-0.10581975,0.14155265,0.1658681,"beta","Ideology (DW Nominate 2)","Republicans"
"b_scaleVery.low.density",-0.038923891756325,-0.0396201,0.0838177468684251,-0.2036494,-0.1777588,0.099491165,0.1232945,"beta","Population density ","Republicans"
"b_typeSEN",-0.0540875767483,-0.05465895,0.170474441929897,-0.383734875,-0.32958105,0.22885825,0.2891648,"beta","Senator","Republicans"
"b_zi_genderM",0.530879936325,0.526183,0.242053665586405,0.0606712275,0.1292115,0.93131665,0.999715625,"zero-inflated","Gender","Republicans"
"b_zi_Intercept",1.0230253305,1.02742,0.272015919707997,0.47744595,0.5678617,1.4653605,1.54575175,"zero-inflated","Intercept","Republicans"
"b_zi_mask_mandate",-0.18147123263525,-0.181357,0.0868522966969976,-0.35437645,-0.3252716,-0.04075767,-0.0133585675,"zero-inflated","State mask mandate","Republicans"
"b_zi_scaleage",0.0494424037713375,0.0486779,0.0728723931299478,-0.0938164825,-0.07057376,0.17055195,0.190914025,"zero-inflated","Age","Republicans"
"b_zi_scaleage65_prop",0.0643467797601,0.06307415,0.0857635153453451,-0.106141,-0.07704137,0.20617565,0.233195075,"zero-inflated","Proportion over 65","Republicans"
"b_zi_scalecases_norm_l1",-0.052505162672325,-0.05261185,0.0502824486123508,-0.150064575,-0.1343753,0.0296351249999999,0.04531356,"zero-inflated","Cases","Republicans"
"b_zi_scaledeaths_norm_l1",0.056411000573125,0.056961,0.0506069981757667,-0.0419853025,-0.026562985,0.1401299,0.154780675,"zero-inflated","Deaths","Republicans"
"b_zi_scaledpres",-0.12163277925325,-0.12022,0.286553687665825,-0.6955525,-0.58839075,0.34913405,0.44177225,"zero-inflated","Clinton vote share","Republicans"
"b_zi_scalefollowers",0.0734741174048525,0.07262895,0.0730975227397657,-0.0715707625,-0.04791541,0.1951706,0.217290625,"zero-inflated","Followers","Republicans"
"b_zi_scalemargin_pc",-0.086720008359875,-0.0877506,0.0941896071775263,-0.273899375,-0.2412523,0.068935555,0.1005368,"zero-inflated","Margin of victory","Republicans"
"b_zi_scalemedianIncomeE",-0.13911964226775,-0.1392495,0.0942712084351687,-0.323299675,-0.2951596,0.01377999,0.042302235,"zero-inflated","Median income","Republicans"
"b_zi_scalenet_trump_vote",0.184553054593,0.186888,0.311336785335994,-0.4468799,-0.3303451,0.69765335,0.792402275,"zero-inflated","Net Trump vote","Republicans"
"b_zi_scalenokken_poole_dim1",0.0948365662294,0.09394045,0.083666988579677,-0.073138535,-0.04236504,0.2297745,0.25915785,"zero-inflated","Ideology (DW Nominate 1)","Republicans"
"b_zi_scalenokken_poole_dim2",0.0174362345783,0.0170929,0.0862439893456102,-0.1548518,-0.12399655,0.1593417,0.1880875,"zero-inflated","Ideology (DW Nominate 2)","Republicans"
"b_zi_scaleVery.low.density",-0.07748767293635,-0.07573,0.0972241041225216,-0.268428325,-0.2367385,0.07667149,0.109625825,"zero-inflated","Population density ","Republicans"
"b_zi_typeSEN",-0.20997616673925,-0.2130945,0.199795300324538,-0.589011025,-0.530005,0.1201818,0.17903595,"zero-inflated","Senator","Republicans"
"r_yr_wk__zi[2020_13,Intercept]",-0.54138736869,-0.544669,0.219722312228001,-0.96702445,-0.8971731,-0.1780369,-0.10452945,"zero-inflated","CDC (offset)","Republicans"
"r_yr_wk__zi[2020_21,Intercept]",0.12600120807595,0.128501,0.227725256253921,-0.306973075,-0.24469085,0.501045,0.569752225,"zero-inflated","Biden mask (offset)","Republicans"
"r_yr_wk__zi[2020_28,Intercept]",-0.6268117240635,-0.6267355,0.220693609073867,-1.0458695,-0.9838989,-0.26016185,-0.1904808,"zero-inflated","Trump mask (offset)","Republicans"
"r_yr_wk__zi[2020_44,Intercept]",-0.99707833975,-1.000325,0.216199988527528,-1.41862375,-1.358314,-0.6356246,-0.570578775,"zero-inflated","Election (offset)","Republicans"
"r_yr_wk[2020_13,Intercept]",-0.2947037805323,-0.297956,0.151388113642054,-0.587482925,-0.53913115,-0.042787385,0.00211909350000005,"beta","CDC (offset)","Republicans"
"r_yr_wk[2020_21,Intercept]",-0.22796195195775,-0.227097,0.171848843776353,-0.56397865,-0.51508435,0.055640605,0.106742,"beta","Biden mask (offset)","Republicans"
"r_yr_wk[2020_28,Intercept]",0.4388074587775,0.4405075,0.144156370189041,0.1617562,0.2013662,0.6738063,0.72226615,"beta","Trump mask (offset)","Republicans"
"r_yr_wk[2020_44,Intercept]",0.15594022069475,0.154671,0.132149104565892,-0.10219985,-0.063554045,0.3755417,0.4161841,"beta","Election (offset)","Republicans"
"sd_bioguide__Intercept",0.780154336,0.777835,0.0516303535441835,0.6843501,0.6991396,0.8684489,0.8836222,NA,NA,"Republicans"
"sd_yr_wk__Intercept",0.52739841175,0.5220615,0.0625722871369355,0.4178064,0.4327236,0.63705885,0.662480625,NA,NA,"Republicans"
