"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_scalenokken_poole_dim2",0.079560978881625,0.0794855,0.0682537469147505,-0.0557248925,-0.03302922,0.19059575,0.21095155,"beta","Ideology (DW Nominate 2)","Democracts"
"b_scaleVery.low.density",0.02398313626575,0.02438205,0.073761268189297,-0.123895275,-0.09904936,0.1430534,0.166746575,"beta","Population density ","Democracts"
"b_typeSEN",0.127728969550612,0.1292,0.199040736965359,-0.26913585,-0.2090274,0.45582845,0.51940905,"beta","Senator","Democracts"
"b_zi_genderM",0.26039312242175,0.2583265,0.135980336889284,-0.0086148585,0.037135745,0.48474205,0.5231092,"zero-inflated","Gender","Democracts"
"b_zi_Intercept",1.033661197,1.033025,0.170693754903309,0.6890238,0.74907855,1.3123485,1.36150775,"zero-inflated","Intercept","Democracts"
"b_zi_mask_mandate",-0.154833074438825,-0.1554825,0.103436324147399,-0.3615712,-0.3231772,0.0168058449999998,0.04829807,"zero-inflated","State mask mandate","Democracts"
"b_zi_scaleage",0.15806341144175,0.157487,0.0720365319106166,0.0192398725,0.03802325,0.2761341,0.304721175,"zero-inflated","Age","Democracts"
"b_zi_scaleage65_prop",0.0830613340212712,0.08251425,0.0771396630578782,-0.065409145,-0.04030251,0.212421,0.238721525,"zero-inflated","Proportion over 65","Democracts"
"b_zi_scalecases_norm_l1",-0.0713321539527,-0.07166155,0.0428877286957478,-0.1544608,-0.14188135,-0.000990589750000007,0.01029026,"zero-inflated","Cases","Democracts"
"b_zi_scaledeaths_norm_l1",0.25449645225,0.246178,0.111944817260856,0.0701635025,0.08943529,0.45184705,0.50295085,"zero-inflated","Deaths","Democracts"
"b_zi_scaledpres",0.07435801001725,0.07638165,0.373913444600359,-0.673400975,-0.5224612,0.6885699,0.80229755,"zero-inflated","Clinton vote share","Democracts"
"b_zi_scalefollowers",0.0097419482186525,0.010477,0.0659738523490898,-0.1204276,-0.096540415,0.1198772,0.140536775,"zero-inflated","Followers","Democracts"
"b_zi_scalemargin_pc",0.024519989376575,0.02749165,0.108909829702849,-0.19167675,-0.1536921,0.20361545,0.23913295,"zero-inflated","Margin of victory","Democracts"
"b_zi_scalemedianIncomeE",0.2551128855725,0.2544375,0.0727054672867486,0.112411975,0.1377973,0.37506,0.39732275,"zero-inflated","Median income","Democracts"
"b_zi_scalenet_trump_vote",-0.145928767712,-0.146084,0.374843416090944,-0.883828875,-0.76940905,0.4750622,0.583887,"zero-inflated","Net Trump vote","Democracts"
"b_zi_scalenokken_poole_dim1",-0.014228736093775,-0.0146281,0.0746624769955434,-0.16028835,-0.1362715,0.1097577,0.13014425,"zero-inflated","Ideology (DW Nominate 1)","Democracts"
"b_zi_scalenokken_poole_dim2",0.140834812606497,0.1399335,0.0788364998882037,-0.01045362,0.01214099,0.2705037,0.29334275,"zero-inflated","Ideology (DW Nominate 2)","Democracts"
"b_zi_scaleVery.low.density",0.09291911532,0.09220145,0.0863810618661388,-0.071039345,-0.047541485,0.23666375,0.259964575,"zero-inflated","Population density ","Democracts"
"b_zi_typeSEN",0.117623626921725,0.120648,0.214127139518192,-0.301209025,-0.2326721,0.47481355,0.53950075,"zero-inflated","Senator","Democracts"
"r_yr_wk__zi[2020_13,Intercept]",0.775864121475,0.774296,0.267881752014542,0.252349825,0.3356746,1.22174,1.311456,"zero-inflated","CDC (offset)","Democracts"
"r_yr_wk__zi[2020_21,Intercept]",0.214005549689225,0.209278,0.224325401007732,-0.21613505,-0.1535174,0.58776125,0.664438175,"zero-inflated","Biden mask (offset)","Democracts"
"r_yr_wk__zi[2020_28,Intercept]",-0.133052277485725,-0.1317455,0.207482119182292,-0.5380952,-0.46348775,0.201971,0.27226125,"zero-inflated","Trump mask (offset)","Democracts"
"r_yr_wk__zi[2020_44,Intercept]",-2.06145473,-2.05847,0.205819570913142,-2.46610925,-2.406891,-1.729812,-1.66330125,"zero-inflated","Election (offset)","Democracts"
"r_yr_wk[2020_13,Intercept]",-0.467230400649,-0.462217,0.217585886329907,-0.892905225,-0.8242393,-0.1024523,-0.039336945,"beta","CDC (offset)","Democracts"
"r_yr_wk[2020_21,Intercept]",0.05111993427843,0.04725955,0.167543692701911,-0.26991775,-0.2228218,0.3318077,0.379785225,"beta","Biden mask (offset)","Democracts"
"r_yr_wk[2020_28,Intercept]",-0.25688653190285,-0.254523,0.154189870350421,-0.564142325,-0.51605915,-0.0084555355000002,0.0462198375000001,"beta","Trump mask (offset)","Democracts"
"r_yr_wk[2020_44,Intercept]",0.0232154928411,0.0228428,0.117183732981454,-0.205489875,-0.16613,0.21792845,0.25564945,"beta","Election (offset)","Democracts"
"sd_bioguide__Intercept",0.7429887005,0.741376,0.0502587949799835,0.650561175,0.66376805,0.82968625,0.84404345,NA,NA,"Democracts"
"sd_yr_wk__Intercept",0.50072796875,0.496068,0.064695047479895,0.384575475,0.4018989,0.61604135,0.64175755,NA,NA,"Democracts"
"b_genderM",-0.3284515256143,-0.328492,0.241282437727664,-0.8058321,-0.7138407,0.076720935,0.140400725,"beta","Gender","Republicans"
"b_Intercept",-0.0268272463471725,-0.02410205,0.246903936803422,-0.5036343,-0.4320609,0.37892725,0.456658225,"beta","Intercept","Republicans"
"b_mask_mandate",0.359935590575,0.3590195,0.0879394060960879,0.188377625,0.21625735,0.5042814,0.532808225,"beta","State mask mandate","Republicans"
"b_scaleage",0.01635444352187,0.018012,0.0751516514363904,-0.1290503,-0.10884235,0.1392556,0.16283655,"beta","Age","Republicans"
"b_scaleage65_prop",0.03410734695115,0.0348496,0.091577500002485,-0.14428245,-0.115976,0.1845164,0.2130597,"beta","Proportion over 65","Republicans"
"b_scalecases_norm_l1",0.0335605693742062,0.0329098,0.0536503245838116,-0.0692625725,-0.05238751,0.12392965,0.1394034,"beta","Cases","Republicans"
"b_scaledeaths_norm_l1",-0.056956023589105,-0.05652915,0.0547381627930269,-0.16791585,-0.1472557,0.0311248099999999,0.04715903,"beta","Deaths","Republicans"
"b_scaledpres",-0.5462334260655,-0.547338,0.284940381726901,-1.09977625,-1.001894,-0.084068495,0.015691965,"beta","Clinton vote share","Republicans"
"b_scalefollowers",0.0145928444039087,0.01547115,0.0756845241773975,-0.135839875,-0.11331205,0.13585025,0.162209925,"beta","Followers","Republicans"
"b_scalemargin_pc",0.020157691759425,0.0192462,0.0921254286250238,-0.15848,-0.13262625,0.17368015,0.200571625,"beta","Margin of victory","Republicans"
"b_scalemedianIncomeE",-0.1512359822404,-0.150597,0.0954824895979356,-0.336571975,-0.30641165,0.01005884,0.0398831175,"beta","Median income","Republicans"
"b_scalenet_trump_vote",-0.5287683234525,-0.5237265,0.302319797406388,-1.12326775,-1.0158285,-0.0357585300000002,0.0725429525000001,"beta","Net Trump vote","Republicans"
"b_scalenokken_poole_dim1",-0.115765589159,-0.1165285,0.0915952879972572,-0.293697575,-0.2674329,0.035818645,0.0620451675,"beta","Ideology (DW Nominate 1)","Republicans"
"b_scalenokken_poole_dim2",-0.050171484955275,-0.04996885,0.0904959237358412,-0.2287521,-0.2007117,0.09993804,0.1271773,"beta","Ideology (DW Nominate 2)","Republicans"
"b_scaleVery.low.density",-0.2149505226245,-0.216058,0.0955227119135338,-0.404864475,-0.3685961,-0.055139125,-0.0200674025,"beta","Population density ","Republicans"
"b_typeSEN",0.034027439681,0.03840175,0.214833850287699,-0.3928098,-0.3166954,0.39400595,0.4540994,"beta","Senator","Republicans"
"b_zi_genderM",0.32265571209475,0.3166525,0.308275507302057,-0.2699282,-0.1782262,0.8316353,0.921135525,"zero-inflated","Gender","Republicans"
"b_zi_Intercept",1.64129671425,1.63686,0.332046519529414,1.00815675,1.100627,2.1919005,2.30813775,"zero-inflated","Intercept","Republicans"
"b_zi_mask_mandate",-0.37045032419,-0.370198,0.113186194679116,-0.598308375,-0.5581709,-0.1850139,-0.1477865,"zero-inflated","State mask mandate","Republicans"
"b_zi_scaleage",-0.005500339506875,-0.00555101,0.0893821918937132,-0.177755425,-0.1522267,0.143514,0.1782127,"zero-inflated","Age","Republicans"
"b_zi_scaleage65_prop",-0.18396067733825,-0.183148,0.104492531820909,-0.38864205,-0.3562042,-0.0133450350000002,0.0221349875000001,"zero-inflated","Proportion over 65","Republicans"
"b_zi_scalecases_norm_l1",-0.2398519706175,-0.238555,0.0696440484363616,-0.37854525,-0.35398825,-0.1259915,-0.106246225,"zero-inflated","Cases","Republicans"
"b_zi_scaledeaths_norm_l1",0.139622538854623,0.139061,0.0715965865424187,-0.000213270224999999,0.02326023,0.25700885,0.2837692,"zero-inflated","Deaths","Republicans"
"b_zi_scaledpres",-0.62429677486925,-0.621256,0.32950748919911,-1.254403,-1.1657655,-0.0832298050000002,0.0288031800000003,"zero-inflated","Clinton vote share","Republicans"
"b_zi_scalefollowers",0.03239203832615,0.03292685,0.0926327503199187,-0.15057955,-0.1192896,0.1841481,0.21404495,"zero-inflated","Followers","Republicans"
"b_zi_scalemargin_pc",-0.06170321771455,-0.06111655,0.115071497165836,-0.28766285,-0.2525965,0.1270886,0.162625775,"zero-inflated","Margin of victory","Republicans"
"b_zi_scalemedianIncomeE",-0.12455832834665,-0.1242905,0.113706107534397,-0.34967855,-0.31454585,0.0595864899999999,0.099809715,"zero-inflated","Median income","Republicans"
"b_zi_scalenet_trump_vote",-0.3941471296295,-0.3923845,0.353758774638641,-1.0749205,-0.97058915,0.189251,0.3070587,"zero-inflated","Net Trump vote","Republicans"
"b_zi_scalenokken_poole_dim1",0.22547743455675,0.225654,0.110091491829969,0.0050104415,0.04247151,0.40536355,0.439925725,"zero-inflated","Ideology (DW Nominate 1)","Republicans"
"b_zi_scalenokken_poole_dim2",-0.0109986047940985,-0.01377295,0.106481968910842,-0.21888255,-0.1818008,0.16288345,0.199306025,"zero-inflated","Ideology (DW Nominate 2)","Republicans"
"b_zi_scaleVery.low.density",-0.00457428396065,-0.00486849,0.11322321090035,-0.222758025,-0.1907289,0.1820051,0.21617325,"zero-inflated","Population density ","Republicans"
"b_zi_typeSEN",-0.021682189752575,-0.02138135,0.253510951242447,-0.508716625,-0.4406097,0.40190445,0.486615675,"zero-inflated","Senator","Republicans"
"r_yr_wk__zi[2020_13,Intercept]",0.8760866243475,0.870284,0.340816974277024,0.225397375,0.32548905,1.448726,1.57591425,"zero-inflated","CDC (offset)","Republicans"
"r_yr_wk__zi[2020_21,Intercept]",0.461592852284,0.4602145,0.273458728385531,-0.0662603425,0.026822095,0.92560325,1.00331275,"zero-inflated","Biden mask (offset)","Republicans"
"r_yr_wk__zi[2020_28,Intercept]",-0.67893669037,-0.683317,0.258041415091827,-1.176782,-1.1047325,-0.24640035,-0.176337225,"zero-inflated","Trump mask (offset)","Republicans"
"r_yr_wk__zi[2020_44,Intercept]",-1.5065457065,-1.508845,0.207611426833518,-1.90469675,-1.838171,-1.15321,-1.09291475,"zero-inflated","Election (offset)","Republicans"
"r_yr_wk[2020_13,Intercept]",0.04454307891555,0.04651205,0.25873068921983,-0.466894525,-0.3741565,0.46880495,0.543149175,"beta","CDC (offset)","Republicans"
"r_yr_wk[2020_21,Intercept]",-0.080952241128825,-0.0824019,0.206221051489232,-0.480069225,-0.42012245,0.2546138,0.321274025,"beta","Biden mask (offset)","Republicans"
"r_yr_wk[2020_28,Intercept]",0.31204980214875,0.311598,0.170003282323603,-0.021879525,0.034984775,0.58768805,0.6475404,"beta","Trump mask (offset)","Republicans"
"r_yr_wk[2020_44,Intercept]",-0.31069788743475,-0.3073025,0.1247824966436,-0.553308625,-0.51830855,-0.1043665,-0.0703536099999999,"beta","Election (offset)","Republicans"
"sd_bioguide__Intercept",0.81006893775,0.8062195,0.061285770683136,0.698493025,0.7143044,0.9178461,0.936956475,NA,NA,"Republicans"
"sd_yr_wk__Intercept",0.405781359,0.401388,0.0612856721579325,0.299192175,0.31435515,0.51610165,0.540450425,NA,NA,"Republicans"
