"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_genderM",0.15652190774785,0.1582345,0.118934279286712,-0.0785875225,-0.04264967,0.3503619,0.394875175,"beta","Gender","Democracts"
"b_Intercept",-0.1576865711419,-0.1585855,0.126874774097091,-0.411568925,-0.36866895,0.0482418549999998,0.0863836275000001,"beta","Intercept","Democracts"
"b_mask_mandate",0.097264125304475,0.0993373,0.0878521782231661,-0.0821561125,-0.05172126,0.23771365,0.261752875,"beta","State mask mandate","Democracts"
"b_scaleage",0.2065079437875,0.206959,0.0633594346414568,0.0837244325,0.1039586,0.30940485,0.3292351,"beta","Age","Democracts"
"b_scaleage65_prop",0.0104224434974,0.00998552,0.0688621142032003,-0.12537445,-0.10137925,0.1229342,0.1471133,"beta","Proportion over 65","Democracts"
"b_scalecases_norm_l1",0.0020227228581125,0.002306305,0.0309798620717834,-0.05739741,-0.04806643,0.051678125,0.063684425,"beta","Cases","Democracts"
"b_scaledeaths_norm_l1",0.087359606005875,0.08700785,0.118069251243674,-0.147994725,-0.10667135,0.2815197,0.327350225,"beta","Deaths","Democracts"
"b_scaledpres",0.17171377452925,0.176567,0.318592671498244,-0.443236325,-0.3640385,0.6919146,0.7808239,"beta","Clinton vote share","Democracts"
"b_scalefollowers",-0.000312788853822501,0.000514192,0.0567686127341204,-0.115967875,-0.09620383,0.09204628,0.107160875,"beta","Followers","Democracts"
"b_scalemargin_pc",-0.075231309340675,-0.0742246,0.0954004388099388,-0.25560565,-0.2317182,0.0822219349999999,0.11398645,"beta","Margin of victory","Democracts"
"b_scalemedianIncomeE",0.038875045672925,0.03941655,0.0617644897935448,-0.083551945,-0.063887615,0.1417921,0.160382925,"beta","Median income","Democracts"
"b_scalenet_trump_vote",0.0415358117868025,0.0433445,0.320440306516651,-0.595112875,-0.49027695,0.557661049999999,0.678384575,"beta","Net Trump vote","Democracts"
"b_scalenokken_poole_dim1",0.04514730994805,0.04386565,0.0651328720238661,-0.0793361,-0.05736852,0.1550155,0.17236835,"beta","Ideology (DW Nominate 1)","Democracts"
