"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label"
"b_genderM",0.0384064122095,0.03744525,0.0874193050198581,-0.12903065,-0.10421555,0.1803982,0.21107025,"beta","Gender"
"b_independent",0.60208064592575,0.603819,0.592465321508352,-0.5351361,-0.38119565,1.5884225,1.78269525,"beta","Independent"
"b_Intercept",-0.7648397415,-0.7641615,0.151681110752976,-1.063942,-1.0162715,-0.5177901,-0.4709572,"beta","Intercept"
"b_mask_mandate",0.071839108293675,0.07163015,0.0439853171774495,-0.01603652,2.64141950000001e-05,0.14300985,0.157540475,"beta","State mask mandate"
"b_republican",0.3481669695895,0.3473705,0.2394445104051,-0.12211735,-0.04946382,0.75234435,0.831658175,"beta","Republican"
"b_scaleage",0.08114588013695,0.08142475,0.0380389924642385,0.0052976065,0.019364,0.143689,0.155614475,"beta","Age"
"b_scaleage65_prop",0.063010197924825,0.061892,0.0409182350550892,-0.0147728475,-0.0022162005,0.1325833,0.146083275,"beta","Proportion over 65"
"b_scalecases_norm_l1",-0.01250401567059,-0.0125261,0.017142448007289,-0.047048135,-0.04071494,0.01502346,0.020234075,"beta","Cases"
"b_scaledeaths_norm_l1",-0.006538869429225,-0.006188185,0.046490737216419,-0.10111855,-0.084004075,0.06967402,0.08181957,"beta","Deaths"
"b_scaledpres",0.18888108442975,0.184893,0.247206078681967,-0.293680125,-0.22021925,0.60093545,0.677656725,"beta","Clinton vote share"
"b_scalefollowers",-0.079864089097625,-0.08016305,0.0399203539735032,-0.15792555,-0.14539205,-0.01429418,-0.0027946725,"beta","Followers"
"b_scalemargin_pc",0.06741109387195,0.0674647,0.0447706107623619,-0.0196793475,-0.0065080115,0.13968215,0.15400585,"beta","Margin of victory"
"b_scalemedianIncomeE",0.0032048988581,0.003632055,0.0395192883781777,-0.07583638,-0.0630131,0.069848735,0.0793271925,"beta","Median income"
"b_scalenet_trump_vote",0.22658285712175,0.229507,0.25347770080028,-0.2702743,-0.19053555,0.6483464,0.71877405,"beta","Net Trump vote"
"b_scalenokken_poole_dim1",-0.280690807667,-0.281362,0.131638720448095,-0.537263125,-0.49813155,-0.06057082,-0.0216958725,"beta","Ideology (DW Nominate 1)"
"b_scalenokken_poole_dim2",-0.030015987432635,-0.030024,0.0417475945863059,-0.111535575,-0.1017311,0.0374213199999999,0.0506379375,"beta","Ideology (DW Nominate 2)"
"b_scaleVery.low.density",0.020612244117915,0.0219902,0.0557503814051332,-0.0906730025,-0.07216791,0.1108023,0.128201875,"beta","Population density "
"b_typeSEN",0.2809176170225,0.281226,0.0987515145669344,0.08570301,0.12004115,0.44020825,0.475301625,"beta","Senator"
"b_zi_genderM",0.10763705368675,0.1043965,0.105753531693729,-0.0982177575,-0.06679629,0.281429,0.31434945,"zero-inflated","Gender"
"b_zi_independent",-0.19469418596612,-0.199237,0.715867619126455,-1.5656965,-1.3422005,0.9792214,1.2072685,"zero-inflated","Independent"
"b_zi_Intercept",1.090418163,1.089515,0.19915919163985,0.703370075,0.76874175,1.420853,1.50052175,"zero-inflated","Intercept"
"b_zi_mask_mandate",-0.225573446,-0.224895,0.0564788326811382,-0.33695375,-0.3197001,-0.1342938,-0.1156625,"zero-inflated","State mask mandate"
"b_zi_republican",-0.252868708616925,-0.2507025,0.28389874005398,-0.8101942,-0.7343135,0.21178315,0.302164975,"zero-inflated","Republican"
"b_zi_scaleage",0.202391282875,0.201027,0.044266535334167,0.115275025,0.1290172,0.2774668,0.29232775,"zero-inflated","Age"
"b_zi_scaleage65_prop",-0.02268878363577,-0.02242055,0.0474299396728837,-0.11538985,-0.1012907,0.0539876349999999,0.069774475,"zero-inflated","Proportion over 65"
"b_zi_scalecases_norm_l1",-0.062290999780925,-0.06269175,0.0273954698982391,-0.116973875,-0.10800135,-0.01686753,-0.008055364,"zero-inflated","Cases"
"b_zi_scaledeaths_norm_l1",0.10194433936,0.0977528,0.0421159286842823,0.03161742,0.04083095,0.1766873,0.193762875,"zero-inflated","Deaths"
"b_zi_scaledpres",-0.4265133078305,-0.4276055,0.294139301586985,-0.987939075,-0.8969317,0.0668881,0.1596251,"zero-inflated","Clinton vote share"
"b_zi_scalefollowers",0.043079341637595,0.0435788,0.0481197406682131,-0.05028733,-0.036782675,0.1212165,0.13607195,"zero-inflated","Followers"
"b_zi_scalemargin_pc",0.15724160024,0.157382,0.052298710669921,0.05575477,0.069984035,0.2438823,0.25950655,"zero-inflated","Margin of victory"
