"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label"
"b_zi_scalemedianIncomeE",-0.0365881304685,-0.036645,0.0467448522427936,-0.129416175,-0.1148239,0.04053336,0.05437203,"zero-inflated","Median income"
"b_zi_scalenet_trump_vote",-0.2234748580075,-0.2233,0.303782725099553,-0.824865025,-0.72486455,0.27725105,0.367119875,"zero-inflated","Net Trump vote"
"b_zi_scalenokken_poole_dim1",0.22097016570405,0.2213755,0.155980831167465,-0.080296745,-0.031639425,0.48262085,0.525665175,"zero-inflated","Ideology (DW Nominate 1)"
"b_zi_scalenokken_poole_dim2",-0.08427260275078,-0.0844495,0.0506885783641469,-0.182962475,-0.16763275,-0.000374097850000043,0.0148604,"zero-inflated","Ideology (DW Nominate 2)"
"b_zi_scaleVery.low.density",-0.019478257035495,-0.0198623,0.0650614305950856,-0.146369625,-0.12465235,0.08806692,0.113436925,"zero-inflated","Population density "
"b_zi_typeSEN",0.069441301398325,0.066646,0.116452453883811,-0.15753395,-0.11759935,0.26625495,0.302679175,"zero-inflated","Senator"
"r_yr_wk__zi[2020_13,Intercept]",0.527284292675,0.5238525,0.171594766514155,0.19896765,0.2511662,0.80987945,0.865299725,"zero-inflated","CDC (offset)"
"r_yr_wk__zi[2020_21,Intercept]",0.014596877315175,0.0155672,0.160898565269926,-0.3030143,-0.24656575,0.28010625,0.327033,"zero-inflated","Biden mask (offset)"
"r_yr_wk__zi[2020_28,Intercept]",-0.56055816395,-0.5595015,0.154164527838504,-0.86004215,-0.81367485,-0.31148895,-0.258947775,"zero-inflated","Trump mask (offset)"
"r_yr_wk__zi[2020_44,Intercept]",-1.18727598175,-1.186985,0.156147900918082,-1.4913325,-1.4477725,-0.9316737,-0.880506875,"zero-inflated","Election (offset)"
"r_yr_wk[2020_13,Intercept]",-0.3436907841325,-0.3436075,0.123842848391816,-0.5924288,-0.5484155,-0.14119215,-0.107120525,"beta","CDC (offset)"
"r_yr_wk[2020_21,Intercept]",-0.026756198561,-0.0247712,0.105729375458861,-0.23592305,-0.2054697,0.14464145,0.188291425,"beta","Biden mask (offset)"
"r_yr_wk[2020_28,Intercept]",0.225015837369,0.2241055,0.0938278673613935,0.03918643,0.0714093,0.37943905,0.414289375,"beta","Trump mask (offset)"
"r_yr_wk[2020_44,Intercept]",0.18857104435975,0.1874145,0.0883261313673773,0.0168119825,0.04559814,0.3326722,0.3561913,"beta","Election (offset)"
