"variable","mean","median","sd","2.5%","5%","95%","97.5%"
"CDC (offset)",-0.39386440835,-0.3940735,0.109429298250996,-0.608276525,-0.57267665,-0.21567475,-0.18206325
"Biden mask (offset)",0.015816097537975,0.01736955,0.0971191755604163,-0.1756383,-0.1449379,0.174413,0.207651475
"Trump mask (offset)",0.12409200827375,0.126208,0.0915158714864935,-0.0566032775,-0.02726836,0.2708531,0.3000122
"Election (offset)",0.3611601128,0.362367,0.0865928903202698,0.184415875,0.2149145,0.5021032,0.528334925
