"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_genderM",0.25949797942925,0.261728,0.3652648401895,-0.4639036,-0.3443738,0.8799215,0.98133515,"beta","Gender","Republicans"
"b_Intercept",-0.87351811868325,-0.8718015,0.339525312277412,-1.54259025,-1.426947,-0.3138219,-0.204450925,"beta","Intercept","Republicans"
"b_mask_mandate",0.3498270606675,0.3492955,0.111244331326362,0.13198265,0.16201485,0.53259235,0.565730725,"beta","State mask mandate","Republicans"
"b_scaleage",0.167442622976975,0.166111,0.138978234419644,-0.10809855,-0.05885909,0.39680175,0.44852625,"beta","Age","Republicans"
"b_scaleage65_prop",0.071848278745725,0.07364245,0.151105933397747,-0.2280233,-0.1763217,0.31879765,0.37318965,"beta","Proportion over 65","Republicans"
"b_scalecases_norm_l1",-0.03160138403135,-0.03095305,0.0751806310969486,-0.175727325,-0.15568135,0.088607385,0.113620175,"beta","Cases","Republicans"
"b_scaledeaths_norm_l1",-0.053740825992015,-0.052845,0.0627952221266105,-0.177564125,-0.15806275,0.0487438899999998,0.0657679875,"beta","Deaths","Republicans"
"b_scaledpres",-0.26953421254275,-0.2664545,0.36596306177972,-0.98095745,-0.87383705,0.341134599999999,0.4590706,"beta","Clinton vote share","Republicans"
"b_scalefollowers",0.0907150283697825,0.09176115,0.133520159563488,-0.17582885,-0.13148395,0.3062611,0.3599547,"beta","Followers","Republicans"
"b_scalemargin_pc",0.1133396388231,0.111774,0.126713705898967,-0.1334183,-0.09343691,0.32978955,0.365114075,"beta","Margin of victory","Republicans"
"b_scalemedianIncomeE",-0.03244083521177,-0.03663545,0.160306096353651,-0.341313675,-0.2915007,0.23556405,0.2844843,"beta","Median income","Republicans"
"b_scalenet_trump_vote",-0.499934901004875,-0.503115,0.356711604841118,-1.17748575,-1.080353,0.0770078499999997,0.2092811,"beta","Net Trump vote","Republicans"
"b_scalenokken_poole_dim1",0.10079802780883,0.09936565,0.150666227972263,-0.203930875,-0.1465175,0.3457257,0.4024062,"beta","Ideology (DW Nominate 1)","Republicans"
"b_scalenokken_poole_dim2",0.1548959696215,0.15068,0.151582513575815,-0.135040775,-0.08635295,0.40499975,0.457012275,"beta","Ideology (DW Nominate 2)","Republicans"
"b_scaleVery.low.density",0.076126121597925,0.0768589,0.17547723660096,-0.27113685,-0.2166777,0.36270355,0.41881365,"beta","Population density ","Republicans"
"b_zi_genderM",0.542986940559,0.534014,0.411696362950082,-0.240527675,-0.1182608,1.22711,1.365278,"zero-inflated","Gender","Republicans"
"b_zi_Intercept",0.54713981042825,0.5479235,0.400798621034476,-0.2183172,-0.1142061,1.2144315,1.33089375,"zero-inflated","Intercept","Republicans"
"b_zi_mask_mandate",-0.526103858225,-0.52497,0.16466442236438,-0.845134275,-0.79825905,-0.25578595,-0.205149825,"zero-inflated","State mask mandate","Republicans"
"b_zi_scaleage",0.14971566794,0.1474515,0.15786159925156,-0.1563681,-0.1091337,0.41451655,0.46861005,"zero-inflated","Age","Republicans"
"b_zi_scaleage65_prop",0.1626004379248,0.1634955,0.17353768524999,-0.18192935,-0.12282935,0.44447465,0.49959755,"zero-inflated","Proportion over 65","Republicans"
"b_zi_scalecases_norm_l1",0.0735934395743875,0.0741943,0.105487276412068,-0.12892905,-0.09933349,0.24477525,0.27837665,"zero-inflated","Cases","Republicans"
"b_zi_scaledeaths_norm_l1",0.116859449199425,0.1145205,0.10209671987551,-0.0798790425,-0.05315867,0.28995785,0.3241252,"zero-inflated","Deaths","Republicans"
"b_zi_scaledpres",-0.607712967959375,-0.606815,0.420958428822816,-1.4363135,-1.2947595,0.0743963399999999,0.207383625,"zero-inflated","Clinton vote share","Republicans"
"b_zi_scalefollowers",0.044489365368875,0.0433019,0.152452728342814,-0.2607599,-0.2068899,0.2917659,0.340753075,"zero-inflated","Followers","Republicans"
