"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_genderM",0.0883002834602925,0.08782615,0.106588337401469,-0.11939705,-0.08532953,0.2586694,0.2997657,"beta","Gender","Democracts"
"b_Intercept",-0.561691958,-0.5630875,0.11429478935645,-0.78325245,-0.7484553,-0.3708754,-0.33003395,"beta","Intercept","Democracts"
"b_mask_mandate",0.0901246922372725,0.089469,0.0665345904668704,-0.03614953,-0.015420485,0.2004666,0.218780925,"beta","State mask mandate","Democracts"
"b_scaleage",0.037901801334975,0.0374787,0.0552791639284067,-0.06967164,-0.052180545,0.12883135,0.14977485,"beta","Age","Democracts"
"b_scaleage65_prop",0.0568890993621725,0.05670515,0.0617188645882962,-0.06007542,-0.0432554,0.1582128,0.18276075,"beta","Proportion over 65","Democracts"
"b_scalecases_norm_l1",0.0207276318583,0.02036615,0.0265898939665596,-0.0298156075,-0.02251305,0.064149345,0.072163745,"beta","Cases","Democracts"
"b_scaledeaths_norm_l1",-0.048787658427295,-0.04712185,0.0676853808657638,-0.1812896,-0.16286875,0.0608346999999999,0.08503517,"beta","Deaths","Democracts"
"b_scaledpres",0.2488647213135,0.250261,0.235965676652289,-0.22911235,-0.13752555,0.635864199999999,0.724848675,"beta","Clinton vote share","Democracts"
"b_scalefollowers",-0.0101324259473925,-0.009348845,0.0533143474793762,-0.1114318,-0.09661555,0.077662245,0.09547362,"beta","Followers","Democracts"
"b_scalemargin_pc",0.17432634566925,0.175095,0.0879503232966914,0.00500346225,0.030082525,0.3167365,0.341633575,"beta","Margin of victory","Democracts"
"b_scalemedianIncomeE",-0.0089407978799275,-0.00846148,0.0537219261887005,-0.1165915,-0.09833043,0.079188395,0.0963102325,"beta","Median income","Democracts"
"b_scalenet_trump_vote",0.42124192947425,0.422092,0.248697460349166,-0.071070215,0.01149509,0.83220465,0.917705,"beta","Net Trump vote","Democracts"
"b_scalenokken_poole_dim1",-0.0964417921439075,-0.09610715,0.0582533238676643,-0.209488525,-0.19306495,0.000973408649999945,0.0192965675,"beta","Ideology (DW Nominate 1)","Democracts"
