"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_scalenokken_poole_dim2",-0.137318501717,-0.1364355,0.0604879336614859,-0.261041375,-0.2388499,-0.039204745,-0.021771385,"beta","Ideology (DW Nominate 2)","Democracts"
"b_scaleVery.low.density",0.0331218232555,0.03386305,0.0624134213918501,-0.0885017025,-0.069433655,0.134239,0.157887875,"beta","Population density ","Democracts"
"b_typeSEN",0.243456309819,0.2441615,0.164924396450329,-0.0645850725,-0.0234368,0.52184615,0.5755851,"beta","Senator","Democracts"
"b_zi_genderM",0.041850521363275,0.0406712,0.111514619766677,-0.178992175,-0.1455389,0.22433995,0.25789235,"zero-inflated","Gender","Democracts"
"b_zi_Intercept",0.8869041945,0.8911745,0.134718950108078,0.615403925,0.66018465,1.103721,1.140852,"zero-inflated","Intercept","Democracts"
"b_zi_mask_mandate",-0.2659876229125,-0.2656315,0.0794939238307232,-0.421204025,-0.3981051,-0.13715085,-0.1145949,"zero-inflated","State mask mandate","Democracts"
"b_zi_scaleage",0.201915519395,0.201309,0.0613924595624925,0.082886115,0.10365035,0.30457885,0.324875525,"zero-inflated","Age","Democracts"
"b_zi_scaleage65_prop",0.022865626240675,0.02393865,0.0671281887588566,-0.10784085,-0.08825661,0.1339995,0.156217625,"zero-inflated","Proportion over 65","Democracts"
"b_zi_scalecases_norm_l1",0.007971747863,0.006998525,0.0392309027950502,-0.066866315,-0.05514082,0.074907465,0.0874849225,"zero-inflated","Cases","Democracts"
"b_zi_scaledeaths_norm_l1",0.11077931757725,0.1042285,0.0563867523310689,0.015954375,0.02558485,0.2114813,0.23437745,"zero-inflated","Deaths","Democracts"
"b_zi_scaledpres",0.16458375366455,0.163181,0.252136014514054,-0.3207676,-0.245728,0.58572205,0.650037275,"zero-inflated","Clinton vote share","Democracts"
"b_zi_scalefollowers",0.074767051781,0.07523195,0.0596328872804658,-0.0443191425,-0.02445036,0.17301015,0.193553225,"zero-inflated","Followers","Democracts"
"b_zi_scalemargin_pc",-0.081499181665675,-0.08288595,0.0963971507960006,-0.269993575,-0.2378562,0.0786862349999998,0.108057125,"zero-inflated","Margin of victory","Democracts"
"b_zi_scalemedianIncomeE",-0.07486413662415,-0.0748828,0.0583053835718808,-0.190433525,-0.1710857,0.019229475,0.0409975725,"zero-inflated","Median income","Democracts"
"b_zi_scalenet_trump_vote",0.115337785094975,0.1159785,0.265717588237134,-0.3980826,-0.32126795,0.5507122,0.624391425,"zero-inflated","Net Trump vote","Democracts"
"b_zi_scalenokken_poole_dim1",-0.09385619130085,-0.0941064,0.0659304118935296,-0.22381585,-0.20269475,0.0168503099999999,0.036777485,"zero-inflated","Ideology (DW Nominate 1)","Democracts"
"b_zi_scalenokken_poole_dim2",-0.1034391360115,-0.103377,0.0654585132293097,-0.22940025,-0.21098325,0.00738757249999995,0.0267404725,"zero-inflated","Ideology (DW Nominate 2)","Democracts"
"b_zi_scaleVery.low.density",0.0612291896419625,0.0615791,0.0683279378459713,-0.07249518,-0.051432105,0.1738087,0.194179275,"zero-inflated","Population density ","Democracts"
"b_zi_typeSEN",0.297697490955275,0.295436,0.182257074743192,-0.0644520775,-0.00878112849999999,0.59783445,0.665073875,"zero-inflated","Senator","Democracts"
"r_yr_wk__zi[2020_13,Intercept]",1.353150641,1.354035,0.225626335940345,0.91595795,0.9919554,1.713085,1.80441425,"zero-inflated","CDC (offset)","Democracts"
"r_yr_wk__zi[2020_21,Intercept]",-0.0359486972192,-0.03744755,0.168579960555539,-0.364733,-0.31427265,0.24091155,0.299839925,"zero-inflated","Biden mask (offset)","Democracts"
"r_yr_wk__zi[2020_28,Intercept]",-0.108546987471125,-0.1055415,0.168505249724393,-0.4424639,-0.3905019,0.1710573,0.220136675,"zero-inflated","Trump mask (offset)","Democracts"
"r_yr_wk__zi[2020_44,Intercept]",-0.29182971487075,-0.2902985,0.178449544334649,-0.65027405,-0.5916637,-0.00316059800000007,0.0575262200000001,"zero-inflated","Election (offset)","Democracts"
"r_yr_wk[2020_13,Intercept]",-0.42139782168325,-0.4184865,0.209252801647188,-0.8473508,-0.7688813,-0.0775718050000001,-0.0245609024999999,"beta","CDC (offset)","Democracts"
"r_yr_wk[2020_21,Intercept]",0.3118911511765,0.3115275,0.129804878805213,0.0517380925,0.09515356,0.52513,0.56516035,"beta","Biden mask (offset)","Democracts"
"r_yr_wk[2020_28,Intercept]",0.2187149513385,0.2156795,0.124464389508392,-0.027183325,0.018418405,0.421854,0.46290475,"beta","Trump mask (offset)","Democracts"
"r_yr_wk[2020_44,Intercept]",0.454012364375,0.4552475,0.126678520870426,0.2072207,0.24592745,0.6614288,0.7008152,"beta","Election (offset)","Democracts"
"sd_bioguide__Intercept",0.72240212475,0.720731,0.0408342340035092,0.6473473,0.6584291,0.79160095,0.806094675,NA,NA,"Democracts"
"sd_yr_wk__Intercept",0.5070057185,0.5025495,0.0587507332374563,0.40559725,0.4189771,0.60840065,0.63398055,NA,NA,"Democracts"
"b_genderM",0.0726911734067,0.07256185,0.17780197535791,-0.2734444,-0.2246918,0.3698487,0.420974725,"beta","Gender","Republicans"
"b_Intercept",-0.5074399046925,-0.508191,0.191284957869879,-0.8894016,-0.82436405,-0.1958025,-0.132086525,"beta","Intercept","Republicans"
"b_mask_mandate",0.2169436318025,0.2172045,0.0678013470080403,0.0802867875,0.10546685,0.32816495,0.348145575,"beta","State mask mandate","Republicans"
"b_scaleage",0.038191692018175,0.0362365,0.056083982429784,-0.07236509,-0.05152223,0.13029795,0.148457675,"beta","Age","Republicans"
"b_scaleage65_prop",0.088916546597725,0.08818425,0.0637395010934706,-0.03616031,-0.014362255,0.1952617,0.21382525,"beta","Proportion over 65","Republicans"
"b_scalecases_norm_l1",-0.02069702676035,-0.02200735,0.0454803068722617,-0.10871505,-0.0946501,0.05518596,0.0707306125000001,"beta","Cases","Republicans"
"b_scaledeaths_norm_l1",-0.008405768158825,-0.00796181,0.0359162527493876,-0.07963447,-0.067392595,0.050081405,0.062751185,"beta","Deaths","Republicans"
"b_scaledpres",-0.174872356148734,-0.1813,0.211809612457838,-0.59197795,-0.51262015,0.1813298,0.251192675,"beta","Clinton vote share","Republicans"
"b_scalefollowers",0.074931354502925,0.07438125,0.0573681710525694,-0.0346366325,-0.019281065,0.1722198,0.190148175,"beta","Followers","Republicans"
"b_scalemargin_pc",0.09339262372905,0.0923204,0.069950932533162,-0.0421714675,-0.021429395,0.20976155,0.22916815,"beta","Margin of victory","Republicans"
"b_scalemedianIncomeE",-0.036663607636775,-0.03549735,0.0731960979329802,-0.18015865,-0.1599124,0.083374055,0.105089475,"beta","Median income","Republicans"
"b_scalenet_trump_vote",-0.29202339054025,-0.296305,0.228101924810252,-0.7364749,-0.6619876,0.0859556499999999,0.1481241,"beta","Net Trump vote","Republicans"
"b_scalenokken_poole_dim1",-0.04611059919755,-0.04508095,0.064122946304995,-0.1713755,-0.15357555,0.058529585,0.0807708125,"beta","Ideology (DW Nominate 1)","Republicans"
"b_scalenokken_poole_dim2",0.0737974793327075,0.0749149,0.0642904520025471,-0.0508166,-0.031298935,0.1781887,0.200621825,"beta","Ideology (DW Nominate 2)","Republicans"
"b_scaleVery.low.density",0.039369755216,0.0381781,0.0736612656820853,-0.104573625,-0.08386589,0.15801835,0.181116275,"beta","Population density ","Republicans"
"b_typeSEN",0.13147829039975,0.128723,0.150702867351097,-0.1624071,-0.1128787,0.3762576,0.42487755,"beta","Senator","Republicans"
"b_zi_genderM",0.266016112513525,0.264962,0.190281399087811,-0.1078212,-0.04553148,0.5772725,0.6348107,"zero-inflated","Gender","Republicans"
"b_zi_Intercept",0.990821504825,0.9888845,0.219446642496146,0.5569358,0.6278514,1.3527465,1.4190245,"zero-inflated","Intercept","Republicans"
"b_zi_mask_mandate",-0.1858455061605,-0.1836675,0.079277568405305,-0.344404575,-0.3188261,-0.058669355,-0.0284321475,"zero-inflated","State mask mandate","Republicans"
"b_zi_scaleage",0.030468254479815,0.03018685,0.0576427338229041,-0.07779147,-0.06171297,0.12569415,0.1432501,"zero-inflated","Age","Republicans"
"b_zi_scaleage65_prop",0.1096129158843,0.108615,0.0657458771302808,-0.0170716075,0.0025264625,0.2184625,0.23867445,"zero-inflated","Proportion over 65","Republicans"
"b_zi_scalecases_norm_l1",0.05677647808225,0.05574945,0.0517913637431451,-0.04327883,-0.02670544,0.14174365,0.16118465,"zero-inflated","Cases","Republicans"
"b_zi_scaledeaths_norm_l1",-0.000827446134814997,-0.0001375325,0.050305719032896,-0.101341875,-0.08358789,0.08031768,0.095803445,"zero-inflated","Deaths","Republicans"
"b_zi_scaledpres",-0.2143284444215,-0.211524,0.215639882173366,-0.645088775,-0.5672974,0.138996,0.21104345,"zero-inflated","Clinton vote share","Republicans"
"b_zi_scalefollowers",0.12036126237605,0.1202035,0.0594707636238741,-8.54102649999985e-05,0.02263562,0.2196661,0.237653975,"zero-inflated","Followers","Republicans"
"b_zi_scalemargin_pc",0.015592487191725,0.0158077,0.0749862699831801,-0.129734525,-0.10819375,0.13865885,0.162423375,"zero-inflated","Margin of victory","Republicans"
"b_zi_scalemedianIncomeE",-0.03177558999075,-0.03216515,0.0756573616299136,-0.18198085,-0.1550477,0.0943834699999999,0.1172155,"zero-inflated","Median income","Republicans"
"b_zi_scalenet_trump_vote",0.00193821597005,0.00157588,0.232662122796031,-0.461168225,-0.38108665,0.38696145,0.4625461,"zero-inflated","Net Trump vote","Republicans"
"b_zi_scalenokken_poole_dim1",0.12689617393235,0.1282215,0.0679336461526747,-0.00562850349999999,0.015479995,0.2397273,0.26064665,"zero-inflated","Ideology (DW Nominate 1)","Republicans"
"b_zi_scalenokken_poole_dim2",0.0609219255445,0.06161705,0.0686992077424252,-0.074329165,-0.05239625,0.1729742,0.195903225,"zero-inflated","Ideology (DW Nominate 2)","Republicans"
"b_zi_scaleVery.low.density",-0.06332258930915,-0.0637659,0.0771466245955936,-0.2130057,-0.1926948,0.0616452699999999,0.084940485,"zero-inflated","Population density ","Republicans"
"b_zi_typeSEN",-0.0333103872252,-0.0321165,0.157416662152632,-0.34071,-0.29348545,0.2301665,0.27356265,"zero-inflated","Senator","Republicans"
"r_yr_wk__zi[2020_13,Intercept]",-0.4381989921675,-0.4396505,0.187897802750451,-0.802599325,-0.73830065,-0.12872895,-0.059697505,"zero-inflated","CDC (offset)","Republicans"
"r_yr_wk__zi[2020_21,Intercept]",0.02979933034495,0.02421935,0.200635541035276,-0.359536225,-0.2932172,0.371548,0.4351989,"zero-inflated","Biden mask (offset)","Republicans"
"r_yr_wk__zi[2020_28,Intercept]",-0.664620239025,-0.662241,0.190647761370962,-1.04539275,-0.9877702,-0.351781,-0.29225965,"zero-inflated","Trump mask (offset)","Republicans"
"r_yr_wk__zi[2020_44,Intercept]",0.00493536444544999,0.001745135,0.225799086095959,-0.427167675,-0.355316,0.38935155,0.462795775,"zero-inflated","Election (offset)","Republicans"
"r_yr_wk[2020_13,Intercept]",-0.33793771154275,-0.338464,0.146394189894321,-0.63658605,-0.58407135,-0.1018439,-0.05439722,"beta","CDC (offset)","Republicans"
"r_yr_wk[2020_21,Intercept]",-0.05765462895435,-0.0570727,0.160417684041644,-0.368832975,-0.32801675,0.20807715,0.255263725,"beta","Biden mask (offset)","Republicans"
"r_yr_wk[2020_28,Intercept]",0.2581534167815,0.259964,0.136749767447816,-0.0122279225,0.030835685,0.4803238,0.5262179,"beta","Trump mask (offset)","Republicans"
"r_yr_wk[2020_44,Intercept]",0.5214606526,0.5220205,0.165226665751304,0.19130375,0.25098575,0.79598995,0.849221425,"beta","Election (offset)","Republicans"
"sd_bioguide__Intercept",0.68159932775,0.679956,0.0442066497238456,0.598712375,0.6114749,0.7572872,0.7723048,NA,NA,"Republicans"
"sd_bioguide__zi_Intercept",0.6934588225,0.6913385,0.0474615766937852,0.606381,0.62004545,0.77387055,0.791261025,NA,NA,"Republicans"
"sd_yr_wk__Intercept",0.563040805,0.559082,0.0641498301554316,0.45191655,0.4648672,0.67399035,0.700676175,NA,NA,"Republicans"
"sd_yr_wk__zi_Intercept",0.8208005895,0.812413,0.0871909296594847,0.670526075,0.6903662,0.97410075,1.00978025,NA,NA,"Republicans"
