"variable","mean","median","sd","2.5%","5%","95%","97.5%"
"CDC (offset)",1.233061401,1.238925,0.20480700183028,0.82992935,0.89903155,1.5741,1.63788625
"Biden mask (offset)",0.032352010197175,0.03560425,0.174118864110557,-0.311492875,-0.2566853,0.31196955,0.363086575
"Trump mask (offset)",-0.249908649330675,-0.2499235,0.169991910876765,-0.5787585,-0.52157625,0.02470352,0.0935043125000001
"Election (offset)",-1.361001601,-1.357385,0.18429148089544,-1.72726775,-1.671382,-1.064288,-1.00090525
